dwarf_id,hired_date,reported_date,gold_mined,hammer_date
3,2014-01-01,2014-08-31,506,2014-01-01
3,2014-01-01,2014-09-30,534,2014-01-01
3,2014-01-01,2014-10-31,488,2014-01-01
3,2014-01-01,2014-11-30,532,2014-01-01
3,2014-01-01,2014-12-31,437,2014-01-01
3,2014-01-01,2015-01-31,480,2014-01-01
3,2014-01-01,2015-02-28,488,2014-01-01
3,2014-01-01,2015-03-31,455,2014-01-01
3,2014-01-01,2015-04-30,451,2014-01-01
3,2014-01-01,2015-05-31,443,2014-01-01
3,2014-01-01,2015-06-30,404,2014-01-01
3,2014-01-01,2015-07-31,353,2014-01-01
3,2014-01-01,2015-08-31,403,2014-01-01
4,2014-01-01,2014-01-31,567,2014-01-01
4,2014-01-01,2014-02-28,634,2014-01-01
4,2014-01-01,2014-03-31,570,2014-01-01
4,2014-01-01,2014-04-30,555,2014-01-01
4,2014-01-01,2014-05-31,599,2014-01-01
4,2014-01-01,2014-06-30,552,2014-01-01
4,2014-01-01,2014-07-31,516,2014-01-01
4,2014-01-01,2014-08-31,520,2014-01-01
4,2014-01-01,2014-09-30,534,2014-01-01
4,2014-01-01,2014-10-31,516,2014-01-01
4,2014-01-01,2014-11-30,506,2014-01-01
4,2014-01-01,2014-12-31,458,2014-01-01
4,2014-01-01,2015-01-31,488,2014-01-01
4,2014-01-01,2015-02-28,466,2014-01-01
4,2014-01-01,2015-03-31,467,2014-01-01
4,2014-01-01,2015-04-30,500,2014-01-01
4,2014-01-01,2015-05-31,385,2014-01-01
4,2014-01-01,2015-06-30,441,2014-01-01
4,2014-01-01,2015-07-31,402,2014-01-01
4,2014-01-01,2015-08-31,374,2014-01-01
5,2014-01-01,2014-01-31,608,2014-01-01
5,2014-01-01,2014-02-28,635,2014-01-01
5,2014-01-01,2014-03-31,617,2014-01-01
5,2014-01-01,2014-04-30,606,2014-01-01
5,2014-01-01,2014-05-31,541,2014-01-01
5,2014-01-01,2014-06-30,578,2014-01-01
5,2014-01-01,2014-07-31,530,2014-01-01
5,2014-01-01,2014-08-31,533,2014-01-01
5,2014-01-01,2014-09-30,525,2014-01-01
5,2014-01-01,2014-10-31,509,2014-01-01
5,2014-01-01,2014-11-30,480,2014-01-01
5,2014-01-01,2014-12-31,467,2014-01-01
5,2014-01-01,2015-01-31,499,2014-01-01
5,2014-01-01,2015-02-28,465,2014-01-01
5,2014-01-01,2015-03-31,467,2014-01-01
5,2014-01-01,2015-04-30,431,2014-01-01
5,2014-01-01,2015-05-31,436,2014-01-01
5,2014-01-01,2015-06-30,402,2014-01-01
5,2014-01-01,2015-07-31,412,2014-01-01
5,2014-01-01,2015-08-31,395,2014-01-01
6,2014-01-01,2014-01-31,595,2014-01-01
6,2014-01-01,2014-02-28,590,2014-01-01
6,2014-01-01,2014-03-31,612,2014-01-01
6,2014-01-01,2014-04-30,543,2014-01-01
6,2014-01-01,2014-05-31,525,2014-01-01
6,2014-01-01,2014-06-30,572,2014-01-01
6,2014-01-01,2014-07-31,565,2014-01-01
6,2014-01-01,2014-08-31,545,2014-01-01
6,2014-01-01,2014-09-30,558,2014-01-01
6,2014-01-01,2014-10-31,484,2014-01-01
6,2014-01-01,2014-11-30,516,2014-01-01
6,2014-01-01,2014-12-31,485,2014-01-01
6,2014-01-01,2015-01-31,450,2014-01-01
6,2014-01-01,2015-02-28,496,2014-01-01
6,2014-01-01,2015-03-31,472,2014-01-01
6,2014-01-01,2015-04-30,463,2014-01-01
6,2014-01-01,2015-05-31,447,2014-01-01
6,2014-01-01,2015-06-30,413,2014-01-01
6,2014-01-01,2015-07-31,453,2014-01-01
6,2014-01-01,2015-08-31,452,2014-01-01
7,2014-01-01,2014-01-31,633,2014-01-01
7,2014-01-01,2014-02-28,554,2014-01-01
7,2014-01-01,2014-03-31,562,2014-01-01
7,2014-01-01,2014-04-30,571,2014-01-01
7,2014-01-01,2014-05-31,539,2014-01-01
7,2014-01-01,2014-06-30,536,2014-01-01
7,2014-01-01,2014-07-31,594,2014-01-01
7,2014-01-01,2014-08-31,459,2014-01-01
7,2014-01-01,2014-09-30,489,2014-01-01
7,2014-01-01,2014-10-31,524,2014-01-01
7,2014-01-01,2014-11-30,475,2014-01-01
7,2014-01-01,2014-12-31,519,2014-01-01
7,2014-01-01,2015-01-31,503,2014-01-01
7,2014-01-01,2015-02-28,474,2014-01-01
7,2014-01-01,2015-03-31,452,2014-01-01
7,2014-01-01,2015-04-30,428,2014-01-01
7,2014-01-01,2015-05-31,442,2014-01-01
7,2014-01-01,2015-06-30,386,2014-01-01
7,2014-01-01,2015-07-31,403,2014-01-01
7,2014-01-01,2015-08-31,417,2014-01-01
8,2014-01-01,2014-01-31,654,2014-01-01
8,2014-01-01,2014-02-28,580,2014-01-01
8,2014-01-01,2014-03-31,611,2014-01-01
8,2014-01-01,2014-04-30,544,2014-01-01
8,2014-01-01,2014-05-31,550,2014-01-01
8,2014-01-01,2014-06-30,553,2014-01-01
8,2014-01-01,2014-07-31,559,2014-01-01
8,2014-01-01,2014-08-31,440,2014-01-01
8,2014-01-01,2014-09-30,514,2014-01-01
8,2014-01-01,2014-10-31,548,2014-01-01
8,2014-01-01,2014-11-30,477,2014-01-01
8,2014-01-01,2014-12-31,442,2014-01-01
8,2014-01-01,2015-01-31,463,2014-01-01
8,2014-01-01,2015-02-28,421,2014-01-01
8,2014-01-01,2015-03-31,386,2014-01-01
8,2014-01-01,2015-04-30,396,2014-01-01
8,2014-01-01,2015-05-31,424,2014-01-01
8,2014-01-01,2015-06-30,457,2014-01-01
8,2014-01-01,2015-07-31,392,2014-01-01
8,2014-01-01,2015-08-31,428,2014-01-01
9,2014-01-01,2014-01-31,595,2014-01-01
9,2014-01-01,2014-02-28,631,2014-01-01
9,2014-01-01,2014-03-31,547,2014-01-01
9,2014-01-01,2014-04-30,556,2014-01-01
9,2014-01-01,2014-05-31,505,2014-01-01
9,2014-01-01,2014-06-30,517,2014-01-01
9,2014-01-01,2014-07-31,540,2014-01-01
9,2014-01-01,2014-08-31,478,2014-01-01
9,2014-01-01,2014-09-30,554,2014-01-01
9,2014-01-01,2014-10-31,490,2014-01-01
9,2014-01-01,2014-11-30,470,2014-01-01
9,2014-01-01,2014-12-31,514,2014-01-01
9,2014-01-01,2015-01-31,423,2014-01-01
9,2014-01-01,2015-02-28,455,2014-01-01
9,2014-01-01,2015-03-31,425,2014-01-01
9,2014-01-01,2015-04-30,450,2014-01-01
9,2014-01-01,2015-05-31,396,2014-01-01
9,2014-01-01,2015-06-30,448,2014-01-01
9,2014-01-01,2015-07-31,455,2014-01-01
9,2014-01-01,2015-08-31,390,2014-01-01
10,2014-01-01,2014-01-31,632,2014-01-01
10,2014-01-01,2014-02-28,582,2014-01-01
10,2014-01-01,2014-03-31,564,2014-01-01
10,2014-01-01,2014-04-30,532,2014-01-01
10,2014-01-01,2014-05-31,528,2014-01-01
10,2014-01-01,2014-06-30,568,2014-01-01
10,2014-01-01,2014-07-31,454,2014-01-01
10,2014-01-01,2014-08-31,493,2014-01-01
10,2014-01-01,2014-09-30,543,2014-01-01
10,2014-01-01,2014-10-31,511,2014-01-01
10,2014-01-01,2014-11-30,491,2014-01-01
10,2014-01-01,2014-12-31,524,2014-01-01
10,2014-01-01,2015-01-31,487,2014-01-01
10,2014-01-01,2015-02-28,435,2014-01-01
10,2014-01-01,2015-03-31,472,2014-01-01
10,2014-01-01,2015-04-30,432,2014-01-01
10,2014-01-01,2015-05-31,428,2014-01-01
10,2014-01-01,2015-06-30,414,2014-01-01
10,2014-01-01,2015-07-31,406,2014-01-01
10,2014-01-01,2015-08-31,363,2014-01-01
11,2014-01-01,2014-01-31,632,2014-01-01
11,2014-01-01,2014-02-28,612,2014-01-01
11,2014-01-01,2014-03-31,586,2014-01-01
11,2014-01-01,2014-04-30,567,2014-01-01
11,2014-01-01,2014-05-31,528,2014-01-01
11,2014-01-01,2014-06-30,543,2014-01-01
11,2014-01-01,2014-07-31,575,2014-01-01
11,2014-01-01,2014-08-31,534,2014-01-01
11,2014-01-01,2014-09-30,586,2014-01-01
11,2014-01-01,2014-10-31,498,2014-01-01
11,2014-01-01,2014-11-30,505,2014-01-01
11,2014-01-01,2014-12-31,507,2014-01-01
11,2014-01-01,2015-01-31,579,2014-01-01
11,2014-01-01,2015-02-28,460,2014-01-01
11,2014-01-01,2015-03-31,470,2014-01-01
11,2014-01-01,2015-04-30,462,2014-01-01
11,2014-01-01,2015-05-31,430,2014-01-01
11,2014-01-01,2015-06-30,409,2014-01-01
11,2014-01-01,2015-07-31,386,2014-01-01
11,2014-01-01,2015-08-31,392,2014-01-01
12,2014-01-01,2014-01-31,580,2014-01-01
12,2014-01-01,2014-02-28,630,2014-01-01
12,2014-01-01,2014-03-31,568,2014-01-01
12,2014-01-01,2014-04-30,584,2014-01-01
12,2014-01-01,2014-05-31,523,2014-01-01
12,2014-01-01,2014-06-30,520,2014-01-01
12,2014-01-01,2014-07-31,529,2014-01-01
12,2014-01-01,2014-08-31,530,2014-01-01
12,2014-01-01,2014-09-30,566,2014-01-01
12,2014-01-01,2014-10-31,488,2014-01-01
12,2014-01-01,2014-11-30,528,2014-01-01
12,2014-01-01,2014-12-31,470,2014-01-01
12,2014-01-01,2015-01-31,478,2014-01-01
12,2014-01-01,2015-02-28,516,2014-01-01
12,2014-01-01,2015-03-31,501,2014-01-01
12,2014-01-01,2015-04-30,543,2014-01-01
12,2014-01-01,2015-05-31,395,2014-01-01
12,2014-01-01,2015-06-30,434,2014-01-01
12,2014-01-01,2015-07-31,418,2014-01-01
12,2014-01-01,2015-08-31,393,2014-01-01
13,2014-01-01,2014-01-31,565,2014-01-01
13,2014-01-01,2014-02-28,563,2014-01-01
13,2014-01-01,2014-03-31,612,2014-01-01
13,2014-01-01,2014-04-30,553,2014-01-01
13,2014-01-01,2014-05-31,573,2014-01-01
13,2014-01-01,2014-06-30,564,2014-01-01
13,2014-01-01,2014-07-31,567,2014-01-01
13,2014-01-01,2014-08-31,505,2014-01-01
13,2014-01-01,2014-09-30,467,2014-01-01
13,2014-01-01,2014-10-31,508,2014-01-01
13,2014-01-01,2014-11-30,512,2014-01-01
13,2014-01-01,2014-12-31,518,2014-01-01
13,2014-01-01,2015-01-31,441,2014-01-01
13,2014-01-01,2015-02-28,466,2014-01-01
13,2014-01-01,2015-03-31,473,2014-01-01
13,2014-01-01,2015-04-30,452,2014-01-01
13,2014-01-01,2015-05-31,482,2014-01-01
13,2014-01-01,2015-06-30,438,2014-01-01
13,2014-01-01,2015-07-31,372,2014-01-01
13,2014-01-01,2015-08-31,406,2014-01-01
14,2014-01-01,2014-01-31,622,2014-01-01
14,2014-01-01,2014-02-28,582,2014-01-01
14,2014-01-01,2014-03-31,578,2014-01-01
14,2014-01-01,2014-04-30,633,2014-01-01
14,2014-01-01,2014-05-31,535,2014-01-01
14,2014-01-01,2014-06-30,547,2014-01-01
14,2014-01-01,2014-07-31,549,2014-01-01
14,2014-01-01,2014-08-31,525,2014-01-01
14,2014-01-01,2014-09-30,530,2014-01-01
14,2014-01-01,2014-10-31,514,2014-01-01
14,2014-01-01,2014-11-30,506,2014-01-01
14,2014-01-01,2014-12-31,463,2014-01-01
14,2014-01-01,2015-01-31,494,2014-01-01
14,2014-01-01,2015-02-28,474,2014-01-01
14,2014-01-01,2015-03-31,503,2014-01-01
14,2014-01-01,2015-04-30,460,2014-01-01
14,2014-01-01,2015-05-31,425,2014-01-01
14,2014-01-01,2015-06-30,459,2014-01-01
14,2014-01-01,2015-07-31,474,2014-01-01
14,2014-01-01,2015-08-31,418,2014-01-01
15,2014-01-01,2014-01-31,592,2014-01-01
15,2014-01-01,2014-02-28,574,2014-01-01
15,2014-01-01,2014-03-31,605,2014-01-01
15,2014-01-01,2014-04-30,544,2014-01-01
15,2014-01-01,2014-05-31,560,2014-01-01
15,2014-01-01,2014-06-30,590,2014-01-01
15,2014-01-01,2014-07-31,532,2014-01-01
15,2014-01-01,2014-08-31,513,2014-01-01
15,2014-01-01,2014-09-30,535,2014-01-01
15,2014-01-01,2014-10-31,488,2014-01-01
15,2014-01-01,2014-11-30,503,2014-01-01
15,2014-01-01,2014-12-31,524,2014-01-01
15,2014-01-01,2015-01-31,485,2014-01-01
15,2014-01-01,2015-02-28,395,2014-01-01
15,2014-01-01,2015-03-31,505,2014-01-01
15,2014-01-01,2015-04-30,511,2014-01-01
15,2014-01-01,2015-05-31,414,2014-01-01
15,2014-01-01,2015-06-30,431,2014-01-01
15,2014-01-01,2015-07-31,434,2014-01-01
15,2014-01-01,2015-08-31,404,2014-01-01
16,2014-01-01,2014-01-31,598,2014-01-01
16,2014-01-01,2014-02-28,567,2014-01-01
16,2014-01-01,2014-03-31,584,2014-01-01
16,2014-01-01,2014-04-30,548,2014-01-01
16,2014-01-01,2014-05-31,558,2014-01-01
16,2014-01-01,2014-06-30,503,2014-01-01
16,2014-01-01,2014-07-31,504,2014-01-01
16,2014-01-01,2014-08-31,555,2014-01-01
16,2014-01-01,2014-09-30,546,2014-01-01
16,2014-01-01,2014-10-31,487,2014-01-01
16,2014-01-01,2014-11-30,493,2014-01-01
16,2014-01-01,2014-12-31,559,2014-01-01
16,2014-01-01,2015-01-31,459,2014-01-01
16,2014-01-01,2015-02-28,467,2014-01-01
16,2014-01-01,2015-03-31,433,2014-01-01
16,2014-01-01,2015-04-30,446,2014-01-01
16,2014-01-01,2015-05-31,445,2014-01-01
16,2014-01-01,2015-06-30,388,2014-01-01
16,2014-01-01,2015-07-31,380,2014-01-01
16,2014-01-01,2015-08-31,373,2014-01-01
17,2014-01-01,2014-01-31,594,2014-01-01
17,2014-01-01,2014-02-28,529,2014-01-01
17,2014-01-01,2014-03-31,540,2014-01-01
17,2014-01-01,2014-04-30,606,2014-01-01
17,2014-01-01,2014-05-31,602,2014-01-01
17,2014-01-01,2014-06-30,541,2014-01-01
17,2014-01-01,2014-07-31,534,2014-01-01
17,2014-01-01,2014-08-31,549,2014-01-01
17,2014-01-01,2014-09-30,529,2014-01-01
17,2014-01-01,2014-10-31,511,2014-01-01
17,2014-01-01,2014-11-30,492,2014-01-01
17,2014-01-01,2014-12-31,462,2014-01-01
17,2014-01-01,2015-01-31,485,2014-01-01
17,2014-01-01,2015-02-28,503,2014-01-01
17,2014-01-01,2015-03-31,429,2014-01-01
17,2014-01-01,2015-04-30,469,2014-01-01
17,2014-01-01,2015-05-31,382,2014-01-01
17,2014-01-01,2015-06-30,483,2014-01-01
17,2014-01-01,2015-07-31,415,2014-01-01
17,2014-01-01,2015-08-31,395,2014-01-01
18,2014-02-01,2014-02-28,562,2014-01-01
18,2014-02-01,2014-03-31,590,2014-01-01
18,2014-02-01,2014-04-30,548,2014-01-01
18,2014-02-01,2014-05-31,587,2014-01-01
18,2014-02-01,2014-06-30,570,2014-01-01
18,2014-02-01,2014-07-31,546,2014-01-01
18,2014-02-01,2014-08-31,532,2014-01-01
18,2014-02-01,2014-09-30,512,2014-01-01
18,2014-02-01,2014-10-31,521,2014-01-01
18,2014-02-01,2014-11-30,516,2014-01-01
18,2014-02-01,2014-12-31,514,2014-01-01
18,2014-02-01,2015-01-31,461,2014-01-01
18,2014-02-01,2015-02-28,496,2014-01-01
18,2014-02-01,2015-03-31,541,2014-01-01
18,2014-02-01,2015-04-30,475,2014-01-01
18,2014-02-01,2015-05-31,437,2014-01-01
18,2014-02-01,2015-06-30,472,2014-01-01
18,2014-02-01,2015-07-31,465,2014-01-01
18,2014-02-01,2015-08-31,423,2014-01-01
19,2014-02-01,2014-02-28,584,2014-01-01
19,2014-02-01,2014-03-31,544,2014-01-01
19,2014-02-01,2014-04-30,594,2014-01-01
19,2014-02-01,2014-05-31,549,2014-01-01
19,2014-02-01,2014-06-30,525,2014-01-01
19,2014-02-01,2014-07-31,530,2014-01-01
19,2014-02-01,2014-08-31,525,2014-01-01
19,2014-02-01,2014-09-30,535,2014-01-01
19,2014-02-01,2014-10-31,511,2014-01-01
19,2014-02-01,2014-11-30,537,2014-01-01
19,2014-02-01,2014-12-31,453,2014-01-01
19,2014-02-01,2015-01-31,491,2014-01-01
19,2014-02-01,2015-02-28,457,2014-01-01
19,2014-02-01,2015-03-31,430,2014-01-01
19,2014-02-01,2015-04-30,437,2014-01-01
19,2014-02-01,2015-05-31,451,2014-01-01
19,2014-02-01,2015-06-30,406,2014-01-01
19,2014-02-01,2015-07-31,466,2014-01-01
19,2014-02-01,2015-08-31,409,2014-01-01
20,2014-02-01,2014-02-28,614,2014-01-01
20,2014-02-01,2014-03-31,571,2014-01-01
20,2014-02-01,2014-04-30,550,2014-01-01
20,2014-02-01,2014-05-31,597,2014-01-01
20,2014-02-01,2014-06-30,572,2014-01-01
20,2014-02-01,2014-07-31,573,2014-01-01
20,2014-02-01,2014-08-31,591,2014-01-01
20,2014-02-01,2014-09-30,594,2014-01-01
20,2014-02-01,2014-10-31,588,2014-01-01
20,2014-02-01,2014-11-30,474,2014-01-01
20,2014-02-01,2014-12-31,498,2014-01-01
20,2014-02-01,2015-01-31,483,2014-01-01
20,2014-02-01,2015-02-28,485,2014-01-01
20,2014-02-01,2015-03-31,439,2014-01-01
20,2014-02-01,2015-04-30,409,2014-01-01
20,2014-02-01,2015-05-31,463,2014-01-01
20,2014-02-01,2015-06-30,425,2014-01-01
20,2014-02-01,2015-07-31,359,2014-01-01
20,2014-02-01,2015-08-31,496,2014-01-01
21,2014-02-01,2014-02-28,611,2014-01-01
21,2014-02-01,2014-03-31,589,2014-01-01
21,2014-02-01,2014-04-30,555,2014-01-01
21,2014-02-01,2014-05-31,594,2014-01-01
21,2014-02-01,2014-06-30,555,2014-01-01
21,2014-02-01,2014-07-31,547,2014-01-01
21,2014-02-01,2014-08-31,523,2014-01-01
21,2014-02-01,2014-09-30,515,2014-01-01
21,2014-02-01,2014-10-31,543,2014-01-01
21,2014-02-01,2014-11-30,568,2014-01-01
21,2014-02-01,2014-12-31,471,2014-01-01
21,2014-02-01,2015-01-31,426,2014-01-01
21,2014-02-01,2015-02-28,506,2014-01-01
21,2014-02-01,2015-03-31,417,2014-01-01
21,2014-02-01,2015-04-30,476,2014-01-01
21,2014-02-01,2015-05-31,489,2014-01-01
21,2014-02-01,2015-06-30,488,2014-01-01
21,2014-02-01,2015-07-31,462,2014-01-01
21,2014-02-01,2015-08-31,453,2014-01-01
22,2014-02-01,2014-02-28,558,2014-01-01
22,2014-02-01,2014-03-31,628,2014-01-01
22,2014-02-01,2014-04-30,548,2014-01-01
22,2014-02-01,2014-05-31,565,2014-01-01
22,2014-02-01,2014-06-30,577,2014-01-01
22,2014-02-01,2014-07-31,542,2014-01-01
22,2014-02-01,2014-08-31,533,2014-01-01
22,2014-02-01,2014-09-30,514,2014-01-01
22,2014-02-01,2014-10-31,483,2014-01-01
22,2014-02-01,2014-11-30,536,2014-01-01
22,2014-02-01,2014-12-31,525,2014-01-01
22,2014-02-01,2015-01-31,489,2014-01-01
22,2014-02-01,2015-02-28,453,2014-01-01
22,2014-02-01,2015-03-31,471,2014-01-01
22,2014-02-01,2015-04-30,455,2014-01-01
22,2014-02-01,2015-05-31,472,2014-01-01
22,2014-02-01,2015-06-30,413,2014-01-01
22,2014-02-01,2015-07-31,398,2014-01-01
22,2014-02-01,2015-08-31,376,2014-01-01
23,2014-02-01,2014-02-28,578,2014-01-01
23,2014-02-01,2014-03-31,632,2014-01-01
23,2014-02-01,2014-04-30,533,2014-01-01
23,2014-02-01,2014-05-31,554,2014-01-01
23,2014-02-01,2014-06-30,536,2014-01-01
23,2014-02-01,2014-07-31,495,2014-01-01
23,2014-02-01,2014-08-31,569,2014-01-01
23,2014-02-01,2014-09-30,555,2014-01-01
23,2014-02-01,2014-10-31,538,2014-01-01
23,2014-02-01,2014-11-30,486,2014-01-01
23,2014-02-01,2014-12-31,504,2014-01-01
23,2014-02-01,2015-01-31,438,2014-01-01
23,2014-02-01,2015-02-28,541,2014-01-01
23,2014-02-01,2015-03-31,531,2014-01-01
23,2014-02-01,2015-04-30,414,2014-01-01
23,2014-02-01,2015-05-31,376,2014-01-01
23,2014-02-01,2015-06-30,414,2014-01-01
23,2014-02-01,2015-07-31,405,2014-01-01
23,2014-02-01,2015-08-31,419,2014-01-01
24,2014-02-01,2014-02-28,571,2014-01-01
24,2014-02-01,2014-03-31,598,2014-01-01
24,2014-02-01,2014-04-30,583,2014-01-01
24,2014-02-01,2014-05-31,572,2014-01-01
24,2014-02-01,2014-06-30,549,2014-01-01
24,2014-02-01,2014-07-31,612,2014-01-01
24,2014-02-01,2014-08-31,581,2014-01-01
24,2014-02-01,2014-09-30,511,2014-01-01
24,2014-02-01,2014-10-31,553,2014-01-01
24,2014-02-01,2014-11-30,542,2014-01-01
24,2014-02-01,2014-12-31,486,2014-01-01
24,2014-02-01,2015-01-31,490,2014-01-01
24,2014-02-01,2015-02-28,455,2014-01-01
24,2014-02-01,2015-03-31,507,2014-01-01
24,2014-02-01,2015-04-30,417,2014-01-01
24,2014-02-01,2015-05-31,443,2014-01-01
24,2014-02-01,2015-06-30,431,2014-01-01
24,2014-02-01,2015-07-31,431,2014-01-01
24,2014-02-01,2015-08-31,412,2014-01-01
25,2014-02-01,2014-02-28,621,2014-01-01
25,2014-02-01,2014-03-31,605,2014-01-01
25,2014-02-01,2014-04-30,559,2014-01-01
25,2014-02-01,2014-05-31,562,2014-01-01
25,2014-02-01,2014-06-30,553,2014-01-01
25,2014-02-01,2014-07-31,576,2014-01-01
25,2014-02-01,2014-08-31,524,2014-01-01
25,2014-02-01,2014-09-30,506,2014-01-01
25,2014-02-01,2014-10-31,507,2014-01-01
25,2014-02-01,2014-11-30,521,2014-01-01
25,2014-02-01,2014-12-31,547,2014-01-01
25,2014-02-01,2015-01-31,521,2014-01-01
25,2014-02-01,2015-02-28,466,2014-01-01
25,2014-02-01,2015-03-31,464,2014-01-01
25,2014-02-01,2015-04-30,473,2014-01-01
25,2014-02-01,2015-05-31,421,2014-01-01
25,2014-02-01,2015-06-30,352,2014-01-01
25,2014-02-01,2015-07-31,427,2014-01-01
25,2014-02-01,2015-08-31,413,2014-01-01
26,2014-02-01,2014-02-28,613,2014-01-01
26,2014-02-01,2014-03-31,551,2014-01-01
26,2014-02-01,2014-04-30,615,2014-01-01
26,2014-02-01,2014-05-31,552,2014-01-01
26,2014-02-01,2014-06-30,542,2014-01-01
26,2014-02-01,2014-07-31,503,2014-01-01
26,2014-02-01,2014-08-31,471,2014-01-01
26,2014-02-01,2014-09-30,505,2014-01-01
26,2014-02-01,2014-10-31,522,2014-01-01
26,2014-02-01,2014-11-30,503,2014-01-01
26,2014-02-01,2014-12-31,504,2014-01-01
26,2014-02-01,2015-01-31,468,2014-01-01
26,2014-02-01,2015-02-28,507,2014-01-01
26,2014-02-01,2015-03-31,520,2014-01-01
26,2014-02-01,2015-04-30,478,2014-01-01
26,2014-02-01,2015-05-31,448,2014-01-01
26,2014-02-01,2015-06-30,385,2014-01-01
26,2014-02-01,2015-07-31,420,2014-01-01
26,2014-02-01,2015-08-31,427,2014-01-01
27,2014-02-01,2014-02-28,582,2014-01-01
27,2014-02-01,2014-03-31,560,2014-01-01
27,2014-02-01,2014-04-30,573,2014-01-01
27,2014-02-01,2014-05-31,571,2014-01-01
27,2014-02-01,2014-06-30,577,2014-01-01
27,2014-02-01,2014-07-31,575,2014-01-01
27,2014-02-01,2014-08-31,546,2014-01-01
27,2014-02-01,2014-09-30,546,2014-01-01
27,2014-02-01,2014-10-31,521,2014-01-01
27,2014-02-01,2014-11-30,466,2014-01-01
27,2014-02-01,2014-12-31,512,2014-01-01
27,2014-02-01,2015-01-31,468,2014-01-01
27,2014-02-01,2015-02-28,531,2014-01-01
27,2014-02-01,2015-03-31,467,2014-01-01
27,2014-02-01,2015-04-30,418,2014-01-01
27,2014-02-01,2015-05-31,487,2014-01-01
27,2014-02-01,2015-06-30,399,2014-01-01
27,2014-02-01,2015-07-31,449,2014-01-01
27,2014-02-01,2015-08-31,424,2014-01-01
28,2014-02-01,2014-02-28,644,2014-01-01
28,2014-02-01,2014-03-31,571,2014-01-01
28,2014-02-01,2014-04-30,591,2014-01-01
28,2014-02-01,2014-05-31,588,2014-01-01
28,2014-02-01,2014-06-30,545,2014-01-01
28,2014-02-01,2014-07-31,522,2014-01-01
28,2014-02-01,2014-08-31,528,2014-01-01
28,2014-02-01,2014-09-30,491,2014-01-01
28,2014-02-01,2014-10-31,535,2014-01-01
28,2014-02-01,2014-11-30,512,2014-01-01
28,2014-02-01,2014-12-31,511,2014-01-01
28,2014-02-01,2015-01-31,442,2014-01-01
28,2014-02-01,2015-02-28,530,2014-01-01
28,2014-02-01,2015-03-31,430,2014-01-01
28,2014-02-01,2015-04-30,439,2014-01-01
28,2014-02-01,2015-05-31,437,2014-01-01
28,2014-02-01,2015-06-30,469,2014-01-01
28,2014-02-01,2015-07-31,432,2014-01-01
28,2014-02-01,2015-08-31,386,2014-01-01
29,2014-02-01,2014-02-28,585,2014-01-01
29,2014-02-01,2014-03-31,619,2014-01-01
29,2014-02-01,2014-04-30,534,2014-01-01
29,2014-02-01,2014-05-31,608,2014-01-01
29,2014-02-01,2014-06-30,515,2014-01-01
29,2014-02-01,2014-07-31,564,2014-01-01
29,2014-02-01,2014-08-31,531,2014-01-01
29,2014-02-01,2014-09-30,490,2014-01-01
